,text,level,node,lemmas,pos,stops
86,"The duties of an information officer are to assist electors, to respond to questions from electors and to maintain peace and order in the polling place and on the premises on which the polling place is located.",8,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Appointment_of_information_officer--75.1--3","['the', 'duty', 'of', 'an', 'information', 'officer', 'be', 'to', 'assist', 'elector', ',', 'to', 'respond', 'to', 'question', 'from', 'elector', 'and', 'to', 'maintain', 'peace', 'and', 'order', 'in', 'the', 'polling', 'place', 'and', 'on', 'the', 'premise', 'on', 'which', 'the', 'polling', 'place', 'be', 'locate', '.']","['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'AUX', 'PART', 'VERB', 'NOUN', 'PUNCT', 'PART', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'PART', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'CCONJ', 'ADP', 'DET', 'NOUN', 'ADP', 'PRON', 'DET', 'NOUN', 'NOUN', 'AUX', 'VERB', 'PUNCT']","[True, False, True, True, False, False, True, True, False, False, False, True, False, True, False, True, False, True, True, False, False, True, False, True, True, False, False, True, True, True, False, True, True, True, False, False, True, False, False]"
87,"any regulation, order or directive made under the Financial Administration Act,",9,Alberta_Election_Act--Appointments--1--None--0--Office_of_Chief_Electoral_Officer--5--2--a,"['any', 'regulation', ',', 'order', 'or', 'directive', 'make', 'under', 'the', 'Financial', 'Administration', 'Act', ',']","['DET', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP', 'DET', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']","[True, False, False, False, True, False, True, True, True, False, False, False, False]"
88,"to observe the election procedures on the candidate’s behalf, and",9,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Scrutineers--79--1--c","['to', 'observe', 'the', 'election', 'procedure', 'on', 'the', 'candidate', '’s', 'behalf', ',', 'and']","['PART', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'PART', 'NOUN', 'PUNCT', 'CCONJ']","[True, False, True, False, False, True, True, False, True, False, False, True]"
89,"Following the enumeration referred to in subsection (1), the Chief Electoral Officer shall table a report with the Standing Committee that includes the following information:",8,Alberta_Election_Act--Election_Lists--2--None--3--Enumerations--21--4,"['follow', 'the', 'enumeration', 'refer', 'to', 'in', 'subsection', '(', '1', ')', ',', 'the', 'Chief', 'Electoral', 'Officer', 'shall', 'table', 'a', 'report', 'with', 'the', 'Standing', 'Committee', 'that', 'include', 'the', 'follow', 'information', ':']","['VERB', 'DET', 'NOUN', 'VERB', 'ADP', 'ADP', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'DET', 'PROPN', 'PROPN', 'PROPN', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'PRON', 'VERB', 'DET', 'VERB', 'NOUN', 'PUNCT']","[False, True, False, False, True, True, False, False, False, False, False, True, False, False, False, False, False, True, False, True, True, False, False, True, False, True, False, False, False]"
90,"An election officer, candidate, official agent or scrutineer who presents himself or herself for the purpose of voting at the polling subdivision in which that person ordinarily resides may be required by a candidate, official agent or scrutineer before that person votes to sign the declaration before the deputy returning officer or poll clerk located at that polling subdivision.",8,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Elector’s_declaration--104--2","['an', 'election', 'officer', ',', 'candidate', ',', 'official', 'agent', 'or', 'scrutineer', 'who', 'present', 'himself', 'or', 'herself', 'for', 'the', 'purpose', 'of', 'voting', 'at', 'the', 'polling', 'subdivision', 'in', 'which', 'that', 'person', 'ordinarily', 'reside', 'may', 'be', 'require', 'by', 'a', 'candidate', ',', 'official', 'agent', 'or', 'scrutineer', 'before', 'that', 'person', 'vote', 'to', 'sign', 'the', 'declaration', 'before', 'the', 'deputy', 'return', 'officer', 'or', 'poll', 'clerk', 'locate', 'at', 'that', 'polling', 'subdivision', '.']","['DET', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'PRON', 'VERB', 'PRON', 'CCONJ', 'PRON', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'ADP', 'PRON', 'DET', 'NOUN', 'ADV', 'VERB', 'AUX', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'SCONJ', 'DET', 'NOUN', 'VERB', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'NOUN', 'PUNCT']","[True, False, False, False, False, False, False, False, True, False, True, False, True, True, True, True, True, False, True, False, True, True, False, False, True, True, True, False, False, False, True, True, False, True, True, False, False, False, False, True, False, True, True, False, False, True, False, True, False, True, True, False, False, False, True, False, False, False, True, True, False, False, False]"
91,"$2000 or to imprisonment for a term of not more than one year or to both fine and imprisonment, in the case of any other election officer.",9,Alberta_Election_Act--Administrative_Penalties_and_Offences--5--None--0--Refusal_by_election_officer_to_carry_out_duties--155--0--b,"['$', '2000', 'or', 'to', 'imprisonment', 'for', 'a', 'term', 'of', 'not', 'more', 'than', 'one', 'year', 'or', 'to', 'both', 'fine', 'and', 'imprisonment', ',', 'in', 'the', 'case', 'of', 'any', 'other', 'election', 'officer', '.']","['SYM', 'NUM', 'CCONJ', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'PART', 'ADJ', 'ADP', 'NUM', 'NOUN', 'CCONJ', 'ADP', 'CCONJ', 'ADJ', 'CCONJ', 'NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'NOUN', 'PUNCT']","[False, False, True, True, False, True, True, False, True, True, True, True, True, False, True, True, True, False, True, False, False, True, True, False, True, True, True, False, False, False]"
92,"During the 8 years immediately following the date on which the Chief Electoral Officer and the Election Commissioner receive the report of the Court under subsection (1) or (2), the candidate who is the subject of the report is, subject to subsection (5), prohibited from",8,Alberta_Election_Act--Corrupt_Practices--6--None--0--Corrupt_practice_by_candidate--178--4,"['during', 'the', '8', 'year', 'immediately', 'follow', 'the', 'date', 'on', 'which', 'the', 'Chief', 'Electoral', 'Officer', 'and', 'the', 'Election', 'Commissioner', 'receive', 'the', 'report', 'of', 'the', 'Court', 'under', 'subsection', '(', '1', ')', 'or', '(', '2', ')', ',', 'the', 'candidate', 'who', 'be', 'the', 'subject', 'of', 'the', 'report', 'be', ',', 'subject', 'to', 'subsection', '(', '5', ')', ',', 'prohibit', 'from']","['ADP', 'DET', 'NUM', 'NOUN', 'ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'PRON', 'DET', 'PROPN', 'PROPN', 'PROPN', 'CCONJ', 'DET', 'PROPN', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'ADP', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'CCONJ', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'DET', 'NOUN', 'PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'AUX', 'PUNCT', 'ADJ', 'ADP', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'VERB', 'ADP']","[True, True, False, False, False, False, True, False, True, True, True, False, False, False, True, True, False, False, False, True, False, True, True, False, True, False, False, False, False, True, False, False, False, False, True, False, True, True, True, False, True, True, False, True, False, False, True, False, False, False, False, False, False, True]"
93,"Bank of Canada notes,",9,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Deposit_of_candidate--62--1--a","['Bank', 'of', 'Canada', 'note', ',']","['PROPN', 'ADP', 'PROPN', 'VERB', 'PUNCT']","[False, True, False, False, False]"
94,"On complying with subsection (1), the returning officer shall, as soon as possible,",8,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Close_of_nominations--67--2","['on', 'comply', 'with', 'subsection', '(', '1', ')', ',', 'the', 'return', 'officer', 'shall', ',', 'as', 'soon', 'as', 'possible', ',']","['ADP', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'DET', 'VERB', 'NOUN', 'AUX', 'PUNCT', 'ADV', 'ADV', 'ADP', 'ADJ', 'PUNCT']","[True, False, True, False, False, False, False, False, True, False, False, False, False, True, False, True, False, False]"
95,"the citizenship of the person,",9,Alberta_Election_Act--Election_Lists--2--None--1--Maintenance_of_register--13--2--e,"['the', 'citizenship', 'of', 'the', 'person', ',']","['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","[True, False, True, True, False, False]"
96,"determining whether the person’s name is on the list of electors, or",9,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Access_to_electors_list_and_revisions--51--1--a","['determine', 'whether', 'the', 'person', '’s', 'name', 'be', 'on', 'the', 'list', 'of', 'elector', ',', 'or']","['VERB', 'SCONJ', 'DET', 'NOUN', 'PART', 'NOUN', 'AUX', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'CCONJ']","[False, True, True, False, True, True, True, True, True, False, True, False, False, True]"
97,"in accordance with the political party’s request, one printed copy or one copy in electronic form, or both, of the list of electors for each polling subdivision in each electoral division.",9,Alberta_Election_Act--Election_Lists--2--None--2--Distribution_of_lists_of_electors--18--3--b,"['in', 'accordance', 'with', 'the', 'political', 'party', '’s', 'request', ',', 'one', 'print', 'copy', 'or', 'one', 'copy', 'in', 'electronic', 'form', ',', 'or', 'both', ',', 'of', 'the', 'list', 'of', 'elector', 'for', 'each', 'polling', 'subdivision', 'in', 'each', 'electoral', 'division', '.']","['ADP', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PART', 'NOUN', 'PUNCT', 'NUM', 'VERB', 'NOUN', 'CCONJ', 'NUM', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'CCONJ', 'PRON', 'PUNCT', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']","[True, False, True, True, False, False, True, False, False, True, False, False, True, True, False, True, False, False, False, True, True, False, True, True, False, True, False, True, True, False, False, True, True, False, False, False]"
98,“department” means a department established under section 2 of the Government Organization Act;,9,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Restrictions_on_government_advertising--134.1--1--b","['""', 'department', '""', 'mean', 'a', 'department', 'establish', 'under', 'section', '2', 'of', 'the', 'Government', 'Organization', 'Act', ';']","['PUNCT', 'NOUN', 'PUNCT', 'VERB', 'DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'NUM', 'ADP', 'DET', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']","[False, False, False, False, True, False, False, True, False, False, True, True, False, False, False, False]"
99,An election officer who intentionally miscounts the ballots or in any other manner falsifies a count commits a corrupt practice.,7,Alberta_Election_Act--Corrupt_Practices--6--None--0--Wilful_falsification_of_ballot_count--169,"['an', 'election', 'officer', 'who', 'intentionally', 'miscount', 'the', 'ballot', 'or', 'in', 'any', 'other', 'manner', 'falsify', 'a', 'count', 'commit', 'a', 'corrupt', 'practice', '.']","['DET', 'NOUN', 'NOUN', 'PRON', 'ADV', 'VERB', 'DET', 'NOUN', 'CCONJ', 'ADP', 'DET', 'ADJ', 'NOUN', 'VERB', 'DET', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT']","[True, False, False, True, False, False, True, False, True, True, True, True, False, False, True, False, False, True, False, False, False]"
100,"the elected candidate did not also commit a corrupt practice,",9,Alberta_Election_Act--Corrupt_Practices--6--None--0--Corrupt_practice_by_candidate--178--3--a,"['the', 'elect', 'candidate', 'do', 'not', 'also', 'commit', 'a', 'corrupt', 'practice', ',']","['DET', 'VERB', 'NOUN', 'AUX', 'PART', 'ADV', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT']","[True, False, False, True, True, True, False, True, False, False, False]"
101,"On or before the date determined by the Chief Electoral Officer, the enumerator shall submit to the returning officer the forms completed under section 30(2).",8,Alberta_Election_Act--Election_Lists--2--None--3--Preparing_list_of_electors--32--1,"['on', 'or', 'before', 'the', 'date', 'determine', 'by', 'the', 'Chief', 'Electoral', 'Officer', ',', 'the', 'enumerator', 'shall', 'submit', 'to', 'the', 'return', 'officer', 'the', 'form', 'complete', 'under', 'section', '30(2', ')', '.']","['ADP', 'CCONJ', 'ADP', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'DET', 'NOUN', 'AUX', 'VERB', 'ADP', 'DET', 'VERB', 'NOUN', 'DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'NUM', 'PUNCT', 'PUNCT']","[True, True, True, True, False, False, True, True, False, False, False, False, True, False, False, False, True, True, False, False, True, False, False, True, False, False, False, False]"
102,"the returning officer and election clerk, and any other election officers authorized by the returning officer to assist with the counting of the ballots,",9,Alberta_Election_Act--Post‑Polling‑Day_Procedures--4--None--0--Conduct_of_official_count--137--2--a,"['the', 'return', 'officer', 'and', 'election', 'clerk', ',', 'and', 'any', 'other', 'election', 'officer', 'authorize', 'by', 'the', 'return', 'officer', 'to', 'assist', 'with', 'the', 'counting', 'of', 'the', 'ballot', ',']","['DET', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'PUNCT', 'CCONJ', 'DET', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'ADP', 'DET', 'VERB', 'NOUN', 'PART', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","[True, False, False, True, False, False, False, True, True, True, False, False, False, True, True, False, False, True, False, True, True, False, True, True, False, False]"
103,"the Speaker has laid a report before the Assembly pursuant to section 44(1) of the Election Finances and Contributions Disclosure Act,",9,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Prohibition_against_nomination--57--0--a","['the', 'Speaker', 'have', 'lay', 'a', 'report', 'before', 'the', 'Assembly', 'pursuant', 'to', 'section', '44(1', ')', 'of', 'the', 'Election', 'Finances', 'and', 'Contributions', 'Disclosure', 'Act', ',']","['DET', 'PROPN', 'AUX', 'VERB', 'DET', 'NOUN', 'SCONJ', 'DET', 'PROPN', 'NOUN', 'ADP', 'NOUN', 'NUM', 'PUNCT', 'ADP', 'DET', 'PROPN', 'PROPN', 'CCONJ', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']","[True, False, True, False, True, False, True, True, False, False, True, False, False, False, True, True, False, False, True, False, False, False, False]"
104,Payments not constituting corrupt practice,6,Alberta_Election_Act--Corrupt_Practices--6--None--0--Payments_not_constituting_corrupt_practice,"['payment', 'not', 'constitute', 'corrupt', 'practice']","['NOUN', 'PART', 'VERB', 'ADJ', 'NOUN']","[False, True, False, False, False]"
105,"to refuse to allow the person to be nominated as a candidate, or",10,Alberta_Election_Act--Corrupt_Practices--6--None--0--Improper_inducement--172--3--f--ii,"['to', 'refuse', 'to', 'allow', 'the', 'person', 'to', 'be', 'nominate', 'as', 'a', 'candidate', ',', 'or']","['PART', 'VERB', 'PART', 'VERB', 'DET', 'NOUN', 'PART', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'CCONJ']","[True, False, True, False, True, False, True, True, False, True, True, False, False, True]"
106,the name and contact information of the person or organization conducting the survey if the person or organization is not the person or organization referred to in subclause (i);,10,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Conducting_election_surveys--135.11--1--a--ii","['the', 'name', 'and', 'contact', 'information', 'of', 'the', 'person', 'or', 'organization', 'conduct', 'the', 'survey', 'if', 'the', 'person', 'or', 'organization', 'be', 'not', 'the', 'person', 'or', 'organization', 'refer', 'to', 'in', 'subclause', '(', 'i', ')', ';']","['DET', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'DET', 'NOUN', 'SCONJ', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'AUX', 'PART', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT']","[True, True, True, False, False, True, True, False, True, False, False, True, False, True, True, False, True, False, True, True, True, False, True, False, False, True, True, False, False, True, False, False]"
107,"appointing the 10th day after the date of the writ as nomination day, or if the 10th day is a holiday, the next following day not being a holiday,",9,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Authorization_to_issue_writ_of_election--39--0--c","['appoint', 'the', '10th', 'day', 'after', 'the', 'date', 'of', 'the', 'writ', 'as', 'nomination', 'day', ',', 'or', 'if', 'the', '10th', 'day', 'be', 'a', 'holiday', ',', 'the', 'next', 'follow', 'day', 'not', 'be', 'a', 'holiday', ',']","['VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'CCONJ', 'SCONJ', 'DET', 'ADJ', 'NOUN', 'AUX', 'DET', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'VERB', 'NOUN', 'PART', 'AUX', 'DET', 'NOUN', 'PUNCT']","[False, True, False, False, True, True, False, True, True, False, True, False, False, False, True, True, True, False, False, True, True, False, False, True, True, False, False, True, True, True, False, False]"
108,Oaths and affidavits,6,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Oaths_and_affidavits","['oath', 'and', 'affidavit']","['NOUN', 'CCONJ', 'NOUN']","[False, True, False]"
109,Failure to comply,6,Alberta_Election_Act--Administrative_Penalties_and_Offences--5--None--0--Failure_to_comply,"['failure', 'to', 'comply']","['NOUN', 'PART', 'VERB']","[False, True, False]"
110,"provide copies of the directive to the leader of each registered political party, to any member of the Legislative Assembly who is not a member of a registered political party and to any independent candidate, and",10,Alberta_Election_Act--Appointments--1--None--0--Directives_issued_by_the_Chief_Electoral_Officer--4.11--2--b--i,"['provide', 'copy', 'of', 'the', 'directive', 'to', 'the', 'leader', 'of', 'each', 'register', 'political', 'party', ',', 'to', 'any', 'member', 'of', 'the', 'Legislative', 'Assembly', 'who', 'be', 'not', 'a', 'member', 'of', 'a', 'register', 'political', 'party', 'and', 'to', 'any', 'independent', 'candidate', ',', 'and']","['VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'PRON', 'AUX', 'PART', 'DET', 'NOUN', 'ADP', 'DET', 'VERB', 'ADJ', 'NOUN', 'CCONJ', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'CCONJ']","[False, False, True, True, False, True, True, False, True, True, False, False, False, False, True, True, False, True, True, False, False, True, True, True, True, False, True, True, False, False, False, True, True, True, False, False, False, True]"
111,"A sponsor of an election survey shall, at any time during an election period after the results of the survey are transmitted to the public, provide, on request, a copy of a written report on the results of the survey, as transmitted under subsection (1).",8,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Transmission_of_election_survey_results--135.2--3","['a', 'sponsor', 'of', 'an', 'election', 'survey', 'shall', ',', 'at', 'any', 'time', 'during', 'an', 'election', 'period', 'after', 'the', 'result', 'of', 'the', 'survey', 'be', 'transmit', 'to', 'the', 'public', ',', 'provide', ',', 'on', 'request', ',', 'a', 'copy', 'of', 'a', 'write', 'report', 'on', 'the', 'result', 'of', 'the', 'survey', ',', 'as', 'transmit', 'under', 'subsection', '(', '1', ')', '.']","['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'AUX', 'PUNCT', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'VERB', 'PUNCT', 'ADP', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'DET', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'SCONJ', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT']","[True, False, True, True, False, False, False, False, True, True, False, True, True, False, False, True, True, False, True, True, False, True, False, True, True, False, False, False, False, True, False, False, True, False, True, True, False, False, True, True, False, True, True, False, False, True, False, True, False, False, False, False, False]"
112,"if necessary, subdivide the entire electoral division for which the returning officer was appointed into as many sequentially numbered subdivisions as considered necessary for use as polling subdivisions in any general election, by‑election, referendum or plebiscite and shall attempt to ensure, as far as possible, that no subdivision contains more than 450 electors.",9,Alberta_Election_Act--Election_Lists--2--None--2--Review_of_subdivisions--14--0--b,"['if', 'necessary', ',', 'subdivide', 'the', 'entire', 'electoral', 'division', 'for', 'which', 'the', 'return', 'officer', 'be', 'appoint', 'into', 'as', 'many', 'sequentially', 'number', 'subdivision', 'as', 'consider', 'necessary', 'for', 'use', 'as', 'polling', 'subdivision', 'in', 'any', 'general', 'election', ',', 'by‑election', ',', 'referendum', 'or', 'plebiscite', 'and', 'shall', 'attempt', 'to', 'ensure', ',', 'as', 'far', 'as', 'possible', ',', 'that', 'no', 'subdivision', 'contain', 'more', 'than', '450', 'elector', '.']","['SCONJ', 'ADJ', 'PUNCT', 'VERB', 'DET', 'ADJ', 'ADJ', 'NOUN', 'ADP', 'PRON', 'DET', 'VERB', 'NOUN', 'AUX', 'VERB', 'ADP', 'ADV', 'ADJ', 'ADV', 'VERB', 'NOUN', 'SCONJ', 'VERB', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'CCONJ', 'AUX', 'VERB', 'PART', 'VERB', 'PUNCT', 'ADV', 'ADV', 'ADP', 'ADJ', 'PUNCT', 'SCONJ', 'DET', 'NOUN', 'VERB', 'ADJ', 'ADP', 'NUM', 'NOUN', 'PUNCT']","[True, False, False, False, True, False, False, False, True, True, True, False, False, True, False, True, True, True, False, False, False, True, False, False, True, False, True, False, False, True, True, False, False, False, False, False, False, True, False, True, False, False, True, False, False, True, False, True, False, False, True, True, False, False, True, True, False, False, False]"
113,"the matter is frivolous or vexatious, or",9,Alberta_Election_Act--Investigations--4.1--None--2--Notice_of_investigation_and_conclusion--153.091--2--a,"['the', 'matter', 'be', 'frivolous', 'or', 'vexatious', ',', 'or']","['DET', 'NOUN', 'AUX', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT', 'CCONJ']","[True, False, True, False, True, False, False, True]"
114,"subject to clause (c), in the case of an advertisement that is broadcast or is made through electronic media, the information referred to in clause (a) must be stated at the beginning of the advertisement;",9,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Printed_or_electronic_advertising--134--2--b","['subject', 'to', 'clause', '(', 'c', ')', ',', 'in', 'the', 'case', 'of', 'an', 'advertisement', 'that', 'be', 'broadcast', 'or', 'be', 'make', 'through', 'electronic', 'medium', ',', 'the', 'information', 'refer', 'to', 'in', 'clause', '(', 'a', ')', 'must', 'be', 'state', 'at', 'the', 'beginning', 'of', 'the', 'advertisement', ';']","['ADJ', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PRON', 'AUX', 'VERB', 'CCONJ', 'AUX', 'VERB', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'VERB', 'ADP', 'ADP', 'NOUN', 'PUNCT', 'X', 'PUNCT', 'AUX', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","[False, True, False, False, False, False, False, True, True, False, True, True, False, True, True, False, True, True, True, True, False, False, False, True, False, False, True, True, False, False, True, False, True, True, False, True, True, False, True, True, False, False]"
115,The returning officer may delegate to the administrative assistant any functions of the returning officer or election clerk under this section and sections 117 and 118.,8,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Vote_by_Special_Ballot--116--4","['the', 'return', 'officer', 'may', 'delegate', 'to', 'the', 'administrative', 'assistant', 'any', 'function', 'of', 'the', 'return', 'officer', 'or', 'election', 'clerk', 'under', 'this', 'section', 'and', 'section', '117', 'and', '118', '.']","['DET', 'VERB', 'NOUN', 'AUX', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'DET', 'NOUN', 'ADP', 'DET', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'NUM', 'CCONJ', 'NUM', 'PUNCT']","[True, False, False, True, False, True, True, False, False, True, False, True, True, False, False, True, False, False, True, True, False, True, False, False, True, False, False]"
116,At least 4 days’ notice of the time and place appointed for the recount shall be given by the applicant,8,Alberta_Election_Act--Post‑Polling‑Day_Procedures--4--None--0--Judicial_recount--144--6,"['at', 'least', '4', 'day', ""'"", 'notice', 'of', 'the', 'time', 'and', 'place', 'appoint', 'for', 'the', 'recount', 'shall', 'be', 'give', 'by', 'the', 'applicant']","['ADV', 'ADJ', 'NUM', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'AUX', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN']","[True, True, False, False, False, False, True, True, False, True, False, False, True, True, False, False, True, False, True, True, False]"
117,repealed 2010 c8 s29.,9,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Posting_of_bulletins--90--1--c","['repeal', '2010', 'c8', 's29', '.']","['VERB', 'NUM', 'PROPN', 'PROPN', 'PUNCT']","[False, False, False, False, False]"
118,"by telephone,",9,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Vote_by_Special_Ballot--116--2--b","['by', 'telephone', ',']","['ADP', 'NOUN', 'PUNCT']","[True, False, False]"
